Application,Issue Type,Summary,Description,Steps,Description (Design Steps),Expected,Status,Step Attachment,IssueId,IssueKey,PostStatus,ReqID,Def Id
Avion.com,create account,Validating account is created,,Step 1,Navigate to Avion Website http://34.217.237.141:3003/banking-app it will land on Avion Login page.,User should be navigated to Avion website.,,,,,,,
,,,,Step 2,Populate Username as admin@admin.com,admin@admin.com should get entered in Username field,,,,,,,
,,,,Step 3,Populate Password as abc123,abc123 should get entered in Password field,,,,,,,
,,,,Step 4,Click Login,Login should get clicked,,,,,,,
,,,,Step 5,Click Create Account,Create Account should get clicked,,,,,,,
,,,,Step 6,Populate Full name as sampleuser,sampleuser should get entered as Full name,,,,,,,
,,,,Step 7,Populate Initial balance as 100,100 should get entered in Initial balance,,,,,,,
,,,,Step 8,Select Account Type as Savings Account,Savings Account should get selected in Account Type drop down,,,,,,,
,,,,Step 9,Populate Email Address as sample@gmail.com,sample@gmail.com should get entered in Email Address field,,,,,,,
,,,,Step 10,Populate Password as sample123,sample123 should get entered in Password field,,,,,,,
,,,,Step 11,Click CREATE ACCOUNT,Create Account should get clicked,,,,,,,
,,,,Step 12,Verify 'Successfully saved' is displayed at top,Successfully saved' should get displayed at top,,,,,,,
